economy_name,economy_code,PPP_GDPCap,PPP
Afghanistan,AFG,2202.57,17.21
Albania,ALB,13093.66,41.23
Algeria,DZA,11560.52,38.86
American Samoa,ASM,NA,NA
Angola,AGO,7348.11,92.95
Anguilla,AIA,22877.16,2.29
Antigua and Barbuda,ATG,20494.41,2.09
Argentina,ARG,23620.66,10.26
Armenia,ARM,11974.2,155.97
Aruba,ABW,38439.68,1.35
Australia,AUS,50152.64,1.47
Austria,AUT,54652.51,0.77
Azerbaijan,AZE,14295.54,0.51
"Bahamas, The",BHS,35308.97,0.9
Bahrain,BHR,47256.21,0.19
Bangladesh,BGD,4391.74,29.74
Barbados,BRB,14940.88,2.2
Belarus,BLR,18280.23,0.61
Belgium,BEL,50771.44,0.77
Belize,BLZ,7209.56,1.38
Benin,BEN,2250.13,216.77
Bermuda,BMU,72355.82,1.37
Bhutan,BTN,11786.71,19.21
Bolivia,BOL,8423.7,2.75
Bonaire,BON,NA,NA
Bosnia and Herzegovina,BIH,13842.72,0.68
Botswana,BWA,17275.72,4.73
Brazil,BRA,14519.85,2.18
Brunei Darussalam,BRN,60281.69,0.65
Bulgaria,BGR,21447.08,0.67
Burkina Faso,BFA,1812.77,208.76
Burundi,BDI,784.48,654.9
Cabo Verde,CPV,6616.62,48.48
Cambodia,KHM,3967.88,1428.35
Cameroon,CMR,3545.55,232.8
Canada,CAN,48657.75,1.2
Cayman Islands,CYM,69420.51,0.97
Central African Republic,CAF,937.01,286.83
Chad,TCD,1622.43,243.65
Chile,CHL,23657.21,411.26
China,CHN,14149.92,4.18
Colombia,COL,14198.78,1314.79
Comoros,COM,3100.9,190.13
"Congo, Dem. Rep.",COD,1377.97,645.39
"Congo, Rep.",COG,5145.22,297.67
Cook Islands,COK,NA,NA
Costa Rica,CRI,19822.64,350.82
Côte d'Ivoire,CIV,3572.19,253.75
Croatia,HRV,26666.03,3.33
Cuba,CUB,NA,NA
Curaçao,CUW,25183.43,1.37
Cyprus,CYP,37915.33,0.61
Czech Republic,CZE,38507.33,12.38
Denmark,DNK,55045.61,6.85
Djibouti,DJI,5197.05,106.02
Dominica,DMA,11304.36,1.74
Dominican Republic,DOM,16735.38,21.61
East Asia & Pacific (ICP),EAB,16391.95,NA
Ecuador,ECU,11617.91,0.53
"Egypt, Arab Rep.",EGY,13327.37,3.27
El Salvador,SLV,8436.71,0.46
Equatorial Guinea,GNQ,22770.76,248.93
Eritrea,ERI,NA,5.47
Estonia,EST,33866.73,0.53
Eswatini,SWZ,8716.61,6.21
Ethiopia,ETH,1616.96,8.52
Europe & Central Asia (ICP),ECB,35255.46,NA
Fiji,FJI,13436.44,0.94
Finland,FIN,47470.63,0.86
France,FRA,44651.36,0.77
French Polynesia,PYF,NA,NA
Gabon,GAB,12631.06,279.77
"Gambia, The",GMB,1970.07,15.29
Georgia,GEO,13589.73,0.8
Germany,DEU,53011.74,0.74
Ghana,GHA,4996.64,1.76
Greece,GRC,29088.97,0.58
Grenada,GRD,16234.75,1.69
Guam,GUM,NA,NA
Guatemala,GTM,8353.15,3.93
Guinea,GIN,2846.57,3216.03
Guinea-Bissau,GNB,1925.24,222.75
Guyana,GUY,8989.03,105.35
Haiti,HTI,1877,28.5
Honduras,HND,5562,10.36
"Hong Kong SAR, China",HKG,59926.94,6.01
Hungary,HUN,29529.3,134.36
Iceland,ISL,55491.64,137.12
India,IND,6149.2,20.65
Indonesia,IDN,11048.76,4695.66
"Iran, Islamic Rep.",IRN,16012.04,13061.29
Iraq,IRQ,9916.75,560.76
Ireland,IRL,78211.49,0.79
Israel,ISR,38982.66,3.75
Italy,ITA,41784.82,0.69
Jamaica,JAM,9619.24,67.58
Japan,JPN,40826.53,105.38
Jordan,JOR,9610.11,0.3
Kazakhstan,KAZ,24863,121.25
Kenya,KEN,4061.51,40.18
Kiribati,KIR,NA,NA
"Korea, Rep.",KOR,41001,871.7
Kosovo,KSV,10302.08,0.34
Kuwait,KWT,48927.76,0.18
Kyrgyzstan,KGZ,5263.14,16.96
Lao PDR,LAO,7310.03,2789.11
Latin America & Caribbean (ICP),LCB,16047.8,NA
Latvia,LVA,28504.76,0.48
Lebanon,LBN,16081.51,734.78
Lesotho,LSO,2996.03,5.51
Liberia,LBR,1274.46,51.96
Libya,LBY,13665.36,0.61
Lithuania,LTU,33821.13,0.44
Luxembourg,LUX,112700.68,0.84
"Macao SAR, China",MAC,126918.23,5.15
Madagascar,MDG,1560.75,1013.43
Malawi,MWI,1044.86,251.07
Malaysia,MYS,25540.02,1.65
Maldives,MDV,18662.21,8.16
Mali,MLI,2249.1,214.51
Malta,MLT,41741.44,0.58
Marshall Islands,MHL,NA,NA
Mauritania,MRT,3695.29,111.26
Mauritius,MUS,25051.05,16.88
Mexico,MEX,20022.66,8.87
"Micronesia, Federated States of",FSM,NA,NA
Middle East & North Africa (ICP),MEB,18774.27,NA
Moldova,MDA,9044.64,5.57
Mongolia,MNG,11185.57,791.44
Montenegro,MNE,19704.45,0.35
Montserrat,MSR,18141.81,1.79
Morocco,MAR,7583.15,4.02
Mozambique,MOZ,1228.58,22.86
Myanmar,MMR,4411.35,366.71
Namibia,NAM,10614.32,7.02
Nauru,NRU,NA,NA
Nepal,NPL,2899.7,31.23
Netherlands,NLD,55348.89,0.78
New Caledonia,NCL,NA,NA
New Zealand,NZL,40260.67,1.45
Nicaragua,NIC,6029.15,10.81
Niger,NER,846.64,258.46
Nigeria,NGA,4634.47,115.98
Niue,NIU,NA,NA
North America (ICP),NAB,58843.01,NA
North Macedonia,MKD,15646.32,19.04
Northern Mariana Islands,MNP,NA,NA
Norway,NOR,62940.2,9.92
Oman,OMN,29758.29,0.2
Pakistan,PAK,4974.73,33.59
Palau,PLW,NA,NA
Panama,PAN,30486.48,0.5
Papua New Guinea,PNG,NA,NA
Paraguay,PRY,12594.34,2534.38
Peru,PER,12506.53,1.75
Philippines,PHL,7772.05,19.39
Poland,POL,29801.81,1.74
Portugal,PRT,33086.07,0.57
Puerto Rico,PRI,34634.03,0.91
Qatar,QAT,95062.62,2.35
Romania,ROU,27292.54,1.6
Russian Federation,RUS,26079.08,24.05
Rwanda,RWA,1803.63,325.13
Samoa,WSM,NA,NA
San Marino,SMR,NA,0.68
São Tomé and Principe,STP,3255.01,10.06
Saudi Arabia,SAU,48014.58,1.65
Senegal,SEN,3195.02,246.79
Serbia,SRB,16599.4,40.8
Seychelles,SYC,27794.32,7.97
Sierra Leone,SLE,1642.38,2244.99
Singapore,SGP,93980.94,0.89
Sint Maarten,SXM,31578.53,1.39
Slovakia,SVK,30910.71,0.5
Slovenia,SVN,36660.96,0.57
Solomon Islands,SLB,NA,NA
Somalia,SOM,858.43,8229.53
South Africa,ZAF,12869.58,6.43
